N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,1,469,0,0
1,0,140,1,329
2,0,72,1,397
3,0,52,1,417
4,0,43,1,426
5,0,38,1,431
6,0,26,1,443
7,0,21,1,448
8,0,18,1,451
9,0,15,1,454
10,0,10,1,459
11,0,7,1,462
12,0,5,1,464
13,0,3,1,466
14,0,3,1,466
15,0,3,1,466
16,0,2,1,467
17,0,1,1,468
18,0,0,1,469
19,0,0,1,469
20,0,0,1,469
21,0,0,1,469
22,0,0,1,469
23,0,0,1,469
24,0,0,1,469
25,0,0,1,469
26,0,0,1,469
27,0,0,1,469
28,0,0,1,469
29,0,0,1,469
30,0,0,1,469
31,0,0,1,469
32,0,0,1,469
33,0,0,1,469
34,0,0,1,469
35,0,0,1,469
36,0,0,1,469
37,0,0,1,469
38,0,0,1,469
39,0,0,1,469
40,0,0,1,469
41,0,0,1,469
42,0,0,1,469
43,0,0,1,469
44,0,0,1,469
45,0,0,1,469
46,0,0,1,469
47,0,0,1,469
48,0,0,1,469
49,0,0,1,469
50,0,0,1,469
51,0,0,1,469
